Run_ID,C,Cost,A,Speciation_Score,Classic_Score,Image_Link
25,1.0,1.0,0.1,1.1877777777777776,1.2555555555555553,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_1.00\HM_C_1.00_final.png"", ""View Heatmap"")"
26,0.0,1.25,0.1,1.4283333333333335,1.6111111111111112,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_1.25\HM_C_0.00_final.png"", ""View Heatmap"")"
27,0.25,1.25,0.1,1.4627777777777775,1.6205555555555555,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_1.25\HM_C_0.25_final.png"", ""View Heatmap"")"
28,0.5,1.25,0.1,1.505555555555556,1.6422222222222234,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_1.25\HM_C_0.50_final.png"", ""View Heatmap"")"
29,0.75,1.25,0.1,1.5672222222222223,1.6883333333333326,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_1.25\HM_C_0.75_final.png"", ""View Heatmap"")"
30,1.0,1.25,0.1,1.1688888888888889,1.2394444444444443,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_1.25\HM_C_1.00_final.png"", ""View Heatmap"")"
31,0.0,1.5,0.1,1.4633333333333332,1.7266666666666663,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_1.50\HM_C_0.00_final.png"", ""View Heatmap"")"
32,0.25,1.5,0.1,1.5022222222222221,1.6700000000000002,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_1.50\HM_C_0.25_final.png"", ""View Heatmap"")"
33,0.5,1.5,0.1,1.548333333333333,1.6899999999999997,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_1.50\HM_C_0.50_final.png"", ""View Heatmap"")"
34,0.75,1.5,0.1,1.5938888888888885,1.719999999999999,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_1.50\HM_C_0.75_final.png"", ""View Heatmap"")"
35,1.0,1.5,0.1,1.1449999999999998,1.1961111111111111,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_1.50\HM_C_1.00_final.png"", ""View Heatmap"")"
36,0.0,0.0,0.25,1.0516666666666667,1.087222222222222,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.25\Cost_0.00\HM_C_0.00_final.png"", ""View Heatmap"")"
37,0.25,0.0,0.25,1.0527777777777778,1.0911111111111111,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.25\Cost_0.00\HM_C_0.25_final.png"", ""View Heatmap"")"
38,0.5,0.0,0.25,1.0516666666666667,1.0883333333333332,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.25\Cost_0.00\HM_C_0.50_final.png"", ""View Heatmap"")"
39,0.75,0.0,0.25,1.0527777777777778,1.0899999999999999,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.25\Cost_0.00\HM_C_0.75_final.png"", ""View Heatmap"")"
40,1.0,0.0,0.25,1.056111111111111,1.0977777777777777,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.25\Cost_0.00\HM_C_1.00_final.png"", ""View Heatmap"")"
41,0.0,0.25,0.25,1.3805555555555555,1.4883333333333333,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.25\Cost_0.25\HM_C_0.00_final.png"", ""View Heatmap"")"
42,0.25,0.25,0.25,1.3794444444444445,1.4788888888888891,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.25\Cost_0.25\HM_C_0.25_final.png"", ""View Heatmap"")"
43,0.5,0.25,0.25,1.3594444444444445,1.4244444444444444,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.25\Cost_0.25\HM_C_0.50_final.png"", ""View Heatmap"")"
44,0.75,0.25,0.25,1.28,1.3199999999999998,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.25\Cost_0.25\HM_C_0.75_final.png"", ""View Heatmap"")"
45,1.0,0.25,0.25,1.0838888888888887,1.121111111111111,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.25\Cost_0.25\HM_C_1.00_final.png"", ""View Heatmap"")"
